DATA;MES;TRANSPORTADORA;M3;KG
06/01/2026;jan;VEP;40,1624;9206,878
07/01/2026;jan;VEP;32,6191;6664,212
08/01/2026;jan;VEP;24,6899;6820,976
09/01/2026;jan;SM;1,1131;244,64
12/01/2026;jan;SM;85,1107;17785,828
13/01/2026;jan;SM;2,6492;682,68
13/01/2026;jan;VEP;80,3118;17623,592
14/01/2026;jan;VEP;16,0786;3228,168
15/01/2026;jan;SM;84,1194;15572,67
16/01/2026;jan;SM;99,4411;23761,292
16/01/2026;jan;TR CARGO;56,3267;12218,604
19/01/2026;jan;SM;32,2792;6913,96
19/01/2026;jan;TR CARGO;49,3714;10484,91
20/01/2026;jan;SM;32,8586;7243,78
20/01/2026;jan;VEP;91,3582;19474,488
21/01/2026;jan;VEP;3,7497;904,08
22/01/2026;jan;TR CARGO;75,972;15694,678
23/01/2026;jan;TR CARGO;19,8316;4590,3
26/01/2026;jan;TR CARGO;1,449;217
28/01/2026;jan;SM;80,5052;17956,67
29/01/2026;jan;SM;9,3463;2055,926
29/01/2026;jan;VEP;43,007;9026,696
30/01/2026;jan;VEP;1,866;370,284
31/01/2026;jan;VEP;0,0337;8,36
02/02/2026;fev;VEP;0,1683;33,112
03/02/2026;fev;SM;66,8568;15408,348
03/02/2026;fev;VEP;26,0447;5932,136
04/02/2026;fev;SM;19,0242;4067,776
05/02/2026;fev;SM;93,863;21134,54
05/02/2026;fev;TR CARGO;43,7068;10312,56
06/02/2026;fev;SM;59,0169;12314,598
06/02/2026;fev;TR CARGO;77,0866;17375,398
09/02/2026;fev;TR CARGO;90,1947;20484,284
10/02/2026;fev;SM;71,6807;16734,174
10/02/2026;fev;TR CARGO;103,3132;23678,288
11/02/2026;fev;SM;43,7318;10232,148
12/02/2026;fev;TR CARGO;80,0408;15904,972
13/02/2026;fev;SM;86,9794;21358,048
13/02/2026;fev;TR CARGO;88,0774;19946,086
16/02/2026;fev;SM;62,7881;14469,468
16/02/2026;fev;TR CARGO;68,6191;16773,184
17/02/2026;fev;SM;36,2819;8110,136
17/02/2026;fev;TR CARGO;4,5597;965,284
18/02/2026;fev;SM;32,3729;6914,872
18/02/2026;fev;TR CARGO;29,5848;5983,322
18/02/2026;fev;VEP;73,6038;14891,248
19/02/2026;fev;SM;50,4628;7497,144
20/02/2026;fev;SM;64,5445;15286,07
20/02/2026;fev;TR CARGO;39,7147;8058,128
23/02/2026;fev;SM;93,596;21069,92
23/02/2026;fev;VEP;92,8472;22563,12
24/02/2026;fev;SM;48,3739;10347,04
24/02/2026;fev;TR CARGO;103,4091;20710,718
24/02/2026;fev;VEP;69,2747;13975,336
25/02/2026;fev;SM;37,7424;9329,048
25/02/2026;fev;TR CARGO;78,2954;16499,922
26/02/2026;fev;SM;72,1417;14350,26
27/02/2026;fev;SM;58,1495;9029,076
27/02/2026;fev;TR CARGO;83,2833;18753,588
28/02/2026;fev;SM;43,4822;8798,79
02/03/2026;mar;SM;33,7874;7554,124
02/03/2026;mar;TR CARGO;52,6228;10988,298
03/03/2026;mar;TR CARGO;166,3712;41627,308
03/03/2026;mar;VEP;56,9627;12852,458
04/03/2026;mar;SM;78,2846;18990,468
04/03/2026;mar;TR CARGO;128,7451;26772,462
05/03/2026;mar;SM;23,1672;3492,572
05/03/2026;mar;TR CARGO;78,7057;17372,244
